cycle,slot,arm,sha,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,http_reqs,load1,ts
6,1,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6930810000000001,1.2450564,1.5457940499999998,3.28244161,10.611599,32811,7.12,2026-09-22T03:53:48+02:00
6,2,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.727889,1.3542998,1.8180366,3.2031915599999996,9.421614,32799,7.12,2026-09-22T03:54:49+02:00
6,3,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.790689,1.1624686,1.3851187999999999,2.148148339999999,7.363931,32831,7.12,2026-09-22T03:55:50+02:00
6,4,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6987289999999999,1.2243396,1.55236845,3.00211712,22.57917,32819,7.12,2026-09-22T03:56:51+02:00
6,5,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.837185,1.7294264000000004,2.7625225999999983,10.860640439999997,42.193696,32631,7.12,2026-09-22T03:57:52+02:00
7,0,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.759553,1.2493524,1.5150147999999999,2.602735519999999,62.467568,32735,13.53,2026-09-22T03:58:53+02:00
7,1,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.743665,1.1431668000000001,1.344750799999999,2.1360011199999995,38.435421,32831,13.53,2026-09-22T03:59:54+02:00
7,2,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.691409,1.2097300000000002,1.5556925999999998,3.592730479999998,10.991442,32839,13.53,2026-09-22T04:00:55+02:00
7,3,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.620537,1.2114324,1.5456359499999999,3.8432443999999997,11.616147,32835,13.53,2026-09-22T04:01:56+02:00
7,4,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.767202,1.259538,1.5438716,3.0283953999999986,18.238798,32871,13.53,2026-09-22T04:02:57+02:00
7,5,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.8185695,1.199098,1.3771507499999998,2.14876625,6.622331,32867,13.53,2026-09-22T04:03:58+02:00
8,0,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.6904414999999999,1.2949204,1.7034285499999997,3.4836001999999984,10.762257,32811,7.71,2026-09-22T04:04:59+02:00
8,1,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.7914570000000001,1.4162100000000002,1.8054229999999991,3.6837859999999982,12.08514,32771,7.71,2026-09-22T04:06:00+02:00
8,2,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.7305375000000001,1.220738,1.5160300499999997,2.50779072,40.243266,32803,7.71,2026-09-22T04:07:01+02:00
8,3,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.8282415000000001,1.3343294000000003,1.649845249999999,3.443791729999999,33.531399,32819,7.71,2026-09-22T04:08:02+02:00
8,4,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.807985,1.1771092,1.3422007999999999,2.0643876399999996,13.393238,32855,7.71,2026-09-22T04:09:03+02:00
8,5,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.719025,1.1936820000000004,1.480937,2.9531013199999996,6.631163,32839,7.71,2026-09-22T04:10:03+02:00
9,0,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.785954,1.3635482,1.7123613999999994,3.1748990799999945,9.133072,32783,7.36,2026-09-22T04:11:04+02:00
9,1,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.723057,1.2612372000000003,1.6272388999999996,3.6909192799999984,18.392447,32799,7.36,2026-09-22T04:12:05+02:00
9,2,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.7872570000000001,1.190082,1.4024341499999995,2.41866704,21.342452,32875,7.36,2026-09-22T04:13:06+02:00
9,3,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.800769,1.475587,1.8251491999999998,3.42423248,10.787218,32839,7.36,2026-09-22T04:14:07+02:00
9,4,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.723777,1.4969108000000002,2.6458631999999973,10.762322639999997,49.391986,32535,7.36,2026-09-22T04:15:08+02:00
9,5,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.688721,1.6292318000000001,2.4901377999999985,9.62624287999999,204.196007,32511,7.36,2026-09-22T04:16:09+02:00
10,0,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.627521,0.93461,1.0969324,1.4476605999999999,2.664101,32903,10.11,2026-09-22T04:17:10+02:00
10,1,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.676049,0.9657644000000001,1.096498,1.39818668,2.156723,32935,10.11,2026-09-22T04:18:11+02:00
10,2,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.672929,1.0612532000000001,1.2577555999999996,2.13585204,4.089543,32919,10.11,2026-09-22T04:19:12+02:00
10,3,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.600201,1.0400523000000002,1.287202,1.8292103599999998,4.094854,32891,10.11,2026-09-22T04:20:14+02:00
10,4,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.619321,0.928722,1.1019484,1.4559133599999998,3.655126,32923,10.11,2026-09-22T04:21:15+02:00
10,5,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.656529,1.2012084,1.455564399999999,2.0804743599999997,3.728694,32875,10.11,2026-09-22T04:22:16+02:00
11,0,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.690961,1.0507123999999999,1.2232547999999996,1.6961966,3.942342,32911,7.71,2026-09-22T04:23:17+02:00
11,1,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.734994,1.0813842,1.2527715999999995,1.83798874,4.042854,32895,7.71,2026-09-22T04:24:18+02:00
11,2,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.647105,1.0379570000000002,1.2312803999999993,1.7388372399999996,3.658726,32895,7.71,2026-09-22T04:25:19+02:00
11,3,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.622017,0.9133806000000001,1.0522467999999996,1.4201515399999995,2.943493,32911,7.71,2026-09-22T04:26:20+02:00
11,4,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.665561,1.0420004,1.33632935,1.68980044,4.108439,32875,7.71,2026-09-22T04:27:20+02:00
11,5,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.613185,0.9768618000000001,1.1940292,1.68222878,4.362168,32895,7.71,2026-09-22T04:28:21+02:00
12,0,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.6874009999999999,0.9669043,1.0810819999999999,1.42014156,2.730613,32931,7.68,2026-09-22T04:29:22+02:00
12,1,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.598049,1.0780686000000002,1.3437139999999999,1.9578719,4.036262,32911,7.68,2026-09-22T04:30:23+02:00
12,2,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.6478295000000001,1.2401392000000004,1.7303971499999986,5.328660969999996,43.76168,32715,7.68,2026-09-22T04:31:24+02:00
12,3,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.7188445,1.3242197000000002,1.6077582,2.42778079,20.312732,32843,7.68,2026-09-22T04:32:25+02:00
12,4,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6400645,0.9520458,1.1149648499999996,1.4918941499999998,10.971925,32915,7.68,2026-09-22T04:33:26+02:00
12,5,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.693249,0.9757174,1.079786,1.36579976,3.654792,32935,7.68,2026-09-22T04:34:27+02:00
13,0,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.582045,0.9740163000000001,1.19712145,1.6432304699999996,3.739443,32899,5.23,2026-09-22T04:35:28+02:00
13,1,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.6097165,0.9783593,1.2000016499999986,1.67452841,4.287818,32891,5.23,2026-09-22T04:36:30+02:00
13,2,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.673293,1.0152415,1.23440555,1.63430664,2.508734,32891,5.23,2026-09-22T04:37:31+02:00
13,3,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.619451,0.9852392,1.2100236,1.6553518799999998,4.643264,32879,5.23,2026-09-22T04:38:31+02:00
13,4,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.707915,1.0326026,1.1958403999999998,1.6435753199999998,4.542426,32903,5.23,2026-09-22T04:39:32+02:00
13,5,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.727835,1.1008198000000002,1.3033063999999999,1.8380233199999996,3.400083,32911,5.23,2026-09-22T04:40:33+02:00
14,0,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.616041,0.9286306000000001,1.0898743999999998,1.4719762,10.403445,32903,7.88,2026-09-22T04:41:34+02:00
14,1,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.676289,1.0229892999999999,1.2205439999999996,1.6176286799999997,11.720553,32875,7.88,2026-09-22T04:42:35+02:00
14,2,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.611415,0.94766,1.17763,1.5809693999999996,2.987349,32887,7.88,2026-09-22T04:43:36+02:00
14,3,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.714968,1.0581847999999998,1.222686,1.53265704,3.774027,32935,7.88,2026-09-22T04:44:37+02:00
14,4,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.6865675,0.9620219000000001,1.0759703999999999,1.3888997999999997,3.427238,32955,7.88,2026-09-22T04:45:38+02:00
14,5,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.5996545,1.0491621000000002,1.31108585,1.976555209999999,3.837352,32883,7.88,2026-09-22T04:46:39+02:00
15,0,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.7594395,1.6026608000000002,2.3624423999999986,5.08993063,61.56169,32659,7.13,2026-09-22T04:47:40+02:00
15,1,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6698065,0.9713466000000001,1.1226421999999998,1.5528253699999992,3.784964,32875,7.13,2026-09-22T04:48:41+02:00
15,2,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.684151,1.0096986000000001,1.1508235999999998,1.4975487199999997,2.84361,32951,7.13,2026-09-22T04:49:42+02:00
15,3,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.658358,0.9714746,1.1134532000000001,1.43572336,4.154308,32951,7.13,2026-09-22T04:50:43+02:00
15,4,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.604549,0.9530384000000002,1.1695475999999991,1.5243973199999996,3.859777,32895,7.13,2026-09-22T04:51:44+02:00
15,5,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.5759805,0.926295,1.1770019999999999,1.5569169999999999,3.65571,32907,7.13,2026-09-22T04:52:45+02:00
16,0,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.596981,0.9082086,1.0745344499999998,1.4586303999999997,4.382547,32899,6.45,2026-09-22T04:53:46+02:00
16,1,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.6987255,1.034928,1.195937,1.6303379499999997,9.070742,32947,6.45,2026-09-22T04:54:47+02:00
16,2,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.7187975,1.079,1.2808481999999999,1.7937536099999996,4.237824,32899,6.45,2026-09-22T04:55:48+02:00
16,3,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.657909,1.0589424,1.3165403999999998,1.9039359199999997,6.494272,32871,6.45,2026-09-22T04:56:48+02:00
16,4,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.630404,0.9355102000000001,1.0827689999999996,1.4575130799999998,3.585418,32919,6.45,2026-09-22T04:57:49+02:00
16,5,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.672644,1.2393946,1.5283277999999998,2.26710816,4.454576,32863,6.45,2026-09-22T04:58:50+02:00
17,0,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.702677,1.070327,1.2722729999999995,1.9167041999999999,3.633081,32927,6.35,2026-09-22T04:59:51+02:00
17,1,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.707701,0.9790438,1.0788348999999997,1.34016164,3.218582,32943,6.35,2026-09-22T05:00:52+02:00
17,2,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6061004999999999,0.9264305,1.1103239999999999,1.5465179999999996,3.443799,32907,6.35,2026-09-22T05:01:53+02:00
17,3,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.626116,1.0690601000000002,1.3446665999999998,2.2873834799999995,18.730189,32859,6.35,2026-09-22T05:02:54+02:00
17,4,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.723668,1.3187578000000002,1.6937075999999998,3.2544172399999978,62.230686,32775,6.35,2026-09-22T05:03:55+02:00
17,5,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.637988,1.0748768000000002,1.2988583999999999,1.7421190399999993,5.239843,32903,6.35,2026-09-22T05:04:56+02:00
18,0,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.689104,0.9871654,1.1167242,1.4600502599999998,2.708369,32943,6.50,2026-09-22T05:05:57+02:00
18,1,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.588033,1.0386378,1.2968771000000001,1.9744318999999995,4.238261,32895,6.50,2026-09-22T05:06:58+02:00
18,2,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.605297,0.9962828,1.2573330999999996,1.8549018799999994,3.20546,32879,6.50,2026-09-22T05:07:59+02:00
18,3,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.677314,1.0286772000000002,1.2222323999999998,1.62734892,3.271494,32903,6.50,2026-09-22T05:09:00+02:00
18,4,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.607945,0.9586708,1.1755371999999997,1.56377532,5.123628,32883,6.50,2026-09-22T05:10:01+02:00
18,5,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.6949855,1.0775065000000001,1.2963909999999996,1.8037687499999995,3.598089,32907,6.50,2026-09-22T05:11:02+02:00
